Symbol,Company,Latest Close,52W High,% From 52W High
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,4.3,5.119999885559082,-16.015623122802896
SCEM,Sinai Cement,58.1,75.0,-22.53333333333333
SDTI,Sharm Dreams Co. for Tourism Investment,40.16,42.189998626708984,-4.811563623573735
SIPC,Sabaa International Company for Pharmaceutical and Chemical,3.26,4.900000095367432,-33.469389049970104
SKPC,Sidi Kerir Petrochemicals - SIDPEC,17.55,19.940000534057617,-11.985960230921178
SVCE,South Valley Cement,7.76,9.880000114440918,-21.457490788307375
SWDY,ELSWEDY ELECTRIC,78.35,84.9000015258789,-7.71496043363717
TALM,Taaleem Management Services,14.68,18.700000762939453,-21.497329406031263
TANM,Tanmiya for Real Estate Investment,4.4,5.56,-20.863309352517973
TAQA,Taqa Arabia,13.07,16.04,-18.51620947630922
TMGH,T M G Holding,78.03,97.38999938964844,-19.87883716087815
UEGC,Elsaeed Contracting& Real Estate Investment Company SCCD,1.31,1.6299999952316284,-19.631901605383458
UNIP,Universal For Paper and Packaging Materials (Unipack,,0.48000001907348633,
VALU,U Consumer Finance,11.0,12.8,-14.062500000000005
VLMR,Valmore Holding,0.708,0.756811,-6.449562704559004
VLMRA,Valmore Holding-EGP,31.7,34.4,-7.848837209302324
ZEOT,Extracted Oils,8.68,10.319999694824219,-15.89147038101878
ZMID,Zahraa Maadi Investment & Development,5.45,6.5,-16.153846153846153
